Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_23;10;01_TP34_01.vdt
Sample ID	TP34
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 23:10:01
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI
0.41000	13.306	 2.960	74.496	47.472	23.301	35.37156	
0.41333	13.276	 2.960	74.496	47.456	23.301	35.36973	
0.41667	13.260	 2.960	74.511	47.456	23.255	35.36790	
0.42000	13.245	 2.991	74.511	47.472	23.209	35.36851	
0.42333	13.245	 2.991	74.511	47.517	23.209	35.37034	
0.42667	13.230	 2.991	74.526	47.502	23.194	35.36973	
0.43000	13.215	 2.991	74.526	47.517	23.148	35.36729	
0.43333	13.245	 2.991	74.526	47.533	23.133	35.36668	
0.43667	13.245	 2.976	74.511	47.502	23.148	35.36729	
0.44000	13.260	 2.976	74.541	47.472	23.148	35.36851	
0.44333	13.260	 2.976	74.541	47.487	23.118	35.36790	
0.44667	13.276	 2.976	74.526	47.472	23.118	35.36546	
0.45000	13.245	 2.991	74.511	47.456	23.103	35.36485	
0.45333	13.260	 2.991	74.526	47.472	23.087	35.36607	
0.45667	13.260	 2.976	74.480	47.487	23.041	35.36668	
0.46000	13.276	 2.976	74.465	47.472	23.041	35.36485	
0.46333	13.276	 2.991	74.465	47.487	23.011	35.36362	
0.46667	13.260	 2.976	74.435	47.487	22.980	35.36424	
0.47000	13.230	 2.960	74.450	47.487	22.996	35.36607	
0.47333	13.199	 2.976	74.465	47.487	22.996	35.36424	
0.47667	13.184	 2.991	74.465	47.533	22.980	35.36180	
0.48000	13.184	 2.976	74.465	47.533	22.965	35.35997	
0.48333	13.184	 2.976	74.465	47.548	22.996	35.36119	
0.48667	13.230	 2.991	74.435	47.563	22.950	35.36119	
0.49000	13.230	 2.991	74.419	47.563	22.950	35.36058	
0.49333	13.215	 2.976	74.435	47.548	22.935	35.35814	
0.49667	13.215	 2.976	74.450	47.533	22.935	35.35936	
0.50000	13.230	 2.976	74.465	47.533	22.904	35.36119	
0.50333	13.215	 2.991	74.480	47.533	22.919	35.35997	
0.50667	13.230	 2.976	74.496	47.517	22.904	35.35691	
0.51000	13.260	 2.976	74.465	47.517	22.904	35.35508	
0.51333	13.276	 2.991	74.450	47.517	22.874	35.35569	
0.51667	13.276	 2.991	74.435	47.517	22.858	35.35569	
0.52000	13.230	 2.976	74.450	47.502	22.858	35.35508	
0.52333	13.230	 2.991	74.465	47.517	22.828	35.35386	
0.52667	13.215	 2.991	74.496	47.502	22.797	35.35386	
0.53000	13.199	 2.976	74.496	47.517	22.828	35.35447	
0.53333	13.199	 2.976	74.511	47.517	22.797	35.35569	
0.53667	13.230	 2.976	74.496	47.502	22.752	35.35386	
0.54000	13.215	 2.991	74.496	47.487	22.752	35.35081	
0.54333	13.245	 2.991	74.511	47.487	22.767	35.35203	
0.54667	13.230	 2.991	74.496	47.502	22.736	35.35386	
0.55000	13.245	 2.976	74.480	47.472	22.752	35.35264	
0.55333	13.260	 2.960	74.480	47.487	22.782	35.35142	
0.55667	13.276	 2.945	74.465	47.472	22.767	35.35081	
0.56000	13.276	 2.945	74.450	47.456	22.752	35.35203	
0.56333	13.291	 2.945	74.480	47.441	22.767	35.35386	
0.56667	13.291	 2.960	74.511	47.456	22.752	35.35203	
0.57000	13.291	 2.976	74.526	47.441	22.721	35.35020	
0.57333	13.260	 2.991	74.541	47.487	22.736	35.35203	
0.57667	13.230	 2.976	74.541	47.472	22.736	35.35386	
0.58000	13.230	 2.976	74.526	47.472	22.706	35.35386	
0.58333	13.215	 2.960	74.526	47.456	22.706	35.35203	
0.58667	13.184	 2.945	74.526	47.472	22.675	35.35142	
0.59000	13.199	 2.930	74.541	47.441	22.660	35.35325	
0.59333	13.199	 2.930	74.541	47.456	22.645	35.35508	
0.59667	13.199	 2.915	74.587	47.456	22.645	35.35386	
0.60000	13.184	 2.930	74.557	47.487	22.629	35.35203	
0.60333	13.184	 2.930	74.541	47.472	22.645	35.35081	
0.60667	13.199	 2.930	74.496	47.472	22.645	35.35203	
0.61000	13.215	 2.945	74.480	47.487	22.645	35.35325	
0.61333	13.215	 2.960	74.450	47.487	22.645	35.35203	
0.61667	13.230	 2.960	74.465	47.487	22.645	35.35142	
0.62000	13.260	 2.976	74.480	47.502	22.614	35.35386	
0.62333	13.276	 2.960	74.496	47.517	22.614	35.35630	
0.62667	13.260	 2.945	74.496	47.533	22.614	35.35508	
0.63000	13.260	 2.945	74.496	47.517	22.599	35.35325	
0.63333	13.276	 2.945	74.480	47.517	22.614	35.35203	
0.63667	13.260	 2.945	74.480	47.502	22.629	35.35325	
0.64000	13.230	 2.960	74.480	47.517	22.599	35.35386	
0.64333	13.230	 2.976	74.480	47.517	22.584	35.35142	
0.64667	13.215	 2.976	74.496	47.533	22.568	35.34959	
0.65000	13.199	 2.976	74.511	47.548	22.538	35.35081	
0.65333	13.184	 2.976	74.496	47.578	22.538	35.35325	
0.65667	13.184	 2.960	74.496	47.548	22.568	35.35203	
0.66000	13.184	 2.960	74.511	47.517	22.553	35.35142	
0.66333	13.199	 2.960	74.480	47.533	22.553	35.35081	
0.66667	13.215	 2.960	74.480	47.502	22.553	35.35264	
0.67000	13.230	 2.976	74.480	47.487	22.568	35.35508	
0.67333	13.245	 2.991	74.496	47.502	22.523	35.35508	
0.67667	13.245	 2.991	74.480	47.517	22.507	35.35386	
0.68000	13.245	 3.006	74.511	47.517	22.477	35.35447	
0.68333	13.245	 3.006	74.496	47.533	22.477	35.35691	
0.68667	13.276	 2.991	74.511	47.533	22.462	35.35691	
0.69000	13.276	 2.991	74.526	47.502	22.477	35.35630	
0.69333	13.291	 2.991	74.541	47.517	22.507	35.35508	
0.69667	13.291	 2.976	74.526	47.517	22.538	35.35508	
0.70000	13.291	 2.976	74.557	47.502	22.553	35.35752	
0.70333	13.276	 2.976	74.541	47.517	22.538	35.35691	
0.70667	13.276	 2.976	74.511	47.548	22.538	35.35508	
0.71000	13.276	 2.976	74.511	47.548	22.492	35.35447	
0.71333	13.276	 2.976	74.511	47.517	22.477	35.35691	
0.71667	13.276	 2.976	74.526	47.517	22.462	35.35691	
0.72000	13.260	 2.976	74.541	47.517	22.462	35.35508	
0.72333	13.260	 2.960	74.572	47.502	22.446	35.35325	
0.72667	13.245	 2.960	74.557	47.487	22.446	35.35325	
0.73000	13.245	 2.960	74.572	47.502	22.462	35.35508	
0.73333	13.230	 2.960	74.541	47.502	22.477	35.35447	
0.73667	13.230	 2.960	74.541	47.487	22.462	35.35203	
0.74000	13.230	 2.976	74.511	47.502	22.462	35.34959	
0.74333	13.230	 2.976	74.511	47.517	22.492	35.35142	
0.74667	13.230	 2.976	74.496	47.502	22.538	35.35264	
0.75000	13.230	 2.976	74.496	47.517	22.523	35.35142	
0.75333	13.230	 2.976	74.496	47.517	22.523	35.34959	
0.75667	13.215	 2.960	74.511	47.487	22.553	35.35020	
0.76000	13.215	 2.945	74.511	47.487	22.584	35.35203	
0.76333	13.199	 2.945	74.511	47.517	22.523	35.35264	
0.76667	13.215	 2.945	74.511	47.533	22.538	35.35142	
0.77000	13.215	 2.945	74.526	47.517	22.553	35.35081	
0.77333	13.230	 2.960	74.526	47.533	22.538	35.35203	
0.77667	13.230	 2.960	74.526	47.533	22.538	35.35386	
0.78000	13.230	 2.960	74.511	47.487	22.584	35.35325	
0.78333	13.215	 2.960	74.496	47.472	22.584	35.35203	
0.78667	13.199	 2.945	74.465	47.472	22.584	35.35081	
0.79000	13.215	 2.945	74.450	47.487	22.553	35.35325	
0.79333	13.230	 2.960	74.465	47.472	22.523	35.35386	
0.79667	13.245	 2.945	74.465	47.502	22.507	35.35325	
0.80000	13.260	 2.930	74.480	47.487	22.492	35.35081	
0.80333	13.260	 2.945	74.480	47.487	22.492	35.35264	
0.80667	13.230	 2.945	74.480	47.502	22.553	35.35447	
0.81000	13.215	 2.930	74.480	47.517	22.614	35.35569	
0.81333	13.215	 2.945	74.465	47.517	22.614	35.35386	
0.81667	13.199	 2.945	74.450	47.533	22.614	35.35386	
0.82000	13.230	 2.945	74.465	47.533	22.645	35.35508	
0.82333	13.230	 2.945	74.465	47.533	22.660	35.35630	
0.82667	13.215	 2.960	74.480	47.548	22.645	35.35569	
0.83000	13.215	 2.960	74.511	47.563	22.660	35.35386	
0.83333	13.245	 2.976	74.557	47.578	22.675	35.35386	
0.83667	13.245	 2.976	74.541	47.594	22.675	35.35691	
0.84000	13.245	 2.976	74.541	47.578	22.675	35.35691	
0.84333	13.245	 2.991	74.526	47.578	22.660	35.35386	
0.84667	13.245	 2.991	74.511	47.548	22.660	35.35203	
0.85000	13.215	 2.991	74.496	47.548	22.675	35.35386	
0.85333	13.245	 3.006	74.496	47.533	22.691	35.35508	
0.85667	13.260	 3.006	74.496	47.502	22.691	35.35569	
0.86000	13.276	 2.991	74.511	47.487	22.691	35.35447	
0.86333	13.276	 2.991	74.511	47.487	22.691	35.35447	
0.86667	13.291	 2.991	74.511	47.456	22.691	35.35630	
0.87000	13.260	 2.976	74.496	47.456	22.706	35.35691	
0.87333	13.245	 2.976	74.526	47.472	22.706	35.35569	
0.87667	13.245	 2.960	74.511	47.441	22.721	35.35386	
0.88000	13.230	 2.976	74.511	47.441	22.706	35.35508	
0.88333	13.215	 2.960	74.496	47.441	22.721	35.35691	
0.88667	13.230	 2.945	74.511	47.426	22.721	35.35752	
0.89000	13.215	 2.930	74.511	47.456	22.736	35.35508	
0.89333	13.230	 2.930	74.480	47.472	22.721	35.35447	
0.89667	13.260	 2.915	74.496	47.487	22.767	35.35569	
0.90000	13.291	 2.930	74.511	47.502	22.767	35.35752	
0.90333	13.260	 2.945	74.526	47.517	22.782	35.35569	
0.90667	13.291	 2.960	74.511	47.502	22.767	35.35447	
0.91000	13.291	 2.976	74.526	47.487	22.797	35.35569	
0.91333	13.260	 2.976	74.526	47.502	22.797	35.35691	
0.91667	13.230	 2.976	74.480	47.517	22.813	35.35691	
0.92000	13.245	 2.976	74.480	47.548	22.813	35.35630	
0.92333	13.215	 2.991	74.480	47.563	22.828	35.35569	
0.92667	13.215	 3.006	74.496	47.578	22.828	35.35691	
0.93000	13.199	 3.006	74.480	47.563	22.828	35.36058	
0.93333	13.215	 3.006	74.526	47.548	22.813	35.36058	
0.93667	13.199	 3.006	74.526	47.533	22.782	35.35936	
0.94000	13.230	 2.991	74.511	47.517	22.782	35.35997	
0.94333	13.230	 2.976	74.496	47.517	22.767	35.36180	
0.94667	13.260	 2.976	74.511	47.502	22.782	35.36302	
0.95000	13.245	 2.960	74.496	47.502	22.797	35.36241	
0.95333	13.260	 2.960	74.511	47.487	22.828	35.36119	
0.95667	13.245	 2.960	74.511	47.472	22.843	35.36179	
0.96000	13.230	 2.960	74.496	47.472	22.858	35.36423	
0.96333	13.215	 2.960	74.480	47.502	22.889	35.36362	
0.96667	13.215	 2.976	74.496	47.502	22.919	35.36118	
0.97000	13.215	 2.976	74.450	47.517	22.935	35.35997	
0.97333	13.215	 2.960	74.435	47.548	22.950	35.36119	
0.97667	13.230	 2.960	74.465	47.563	22.996	35.36302	
0.98000	13.245	 2.960	74.480	47.548	22.965	35.36180	
0.98333	13.260	 2.960	74.480	47.533	22.980	35.35997	
0.98667	13.260	 2.960	74.511	47.517	22.980	35.36118	
0.99000	13.276	 2.976	74.541	47.502	22.996	35.36485	
0.99333	13.260	 2.960	74.526	47.487	22.996	35.36546	
0.99667	13.245	 2.945	74.511	47.472	23.057	35.36546	
1.00000	13.245	 2.945	74.496	47.487	23.011	35.36485	
1.00333	13.245	 2.945	74.496	47.502	23.041	35.36546	
1.00667	13.230	 2.945	74.511	47.502	23.026	35.36668	
1.01000	13.245	 2.960	74.511	47.502	23.041	35.36546	
1.01333	13.260	 2.976	74.511	47.472	23.011	35.36302	
1.01667	13.276	 2.960	74.526	47.472	23.072	35.36241	
1.02000	13.260	 2.960	74.541	47.456	23.072	35.36363	
1.02333	13.260	 2.960	74.511	47.472	23.118	35.36302	
1.02667	13.260	 2.960	74.511	47.472	23.148	35.36119	
1.03000	13.260	 2.976	74.541	47.502	23.194	35.35814	
1.03333	13.245	 2.991	74.541	47.502	23.209	35.35875	
1.03667	13.260	 2.991	74.526	47.502	23.225	35.36119	
1.04000	13.276	 2.991	74.526	47.487	23.240	35.35997	
1.04333	13.245	 3.006	74.541	47.517	23.270	35.35752	
1.04667	13.230	 2.991	74.526	47.517	23.270	35.35630	
1.05000	13.230	 2.976	74.526	47.502	23.270	35.35814	
